Year,GDP,Consumption,Gov_Spend,Exports,Imports,Investment
1970,6687204834,5050527278,620376796.4,1442862705,1407315876,980753930.6
1971,7408305736,5590123917,692818383.9,1515306995,1512352877,1122409317
1972,8017468688,6130820399,821747468.1,1577874993,1560945646,1047971474
1973,10082885603,7285348490,961769015.6,2497224812,2005387564,1343930849
1974,13781139970,10137745105,1369790362,3448194582,3769501613,2594911534
1975,14893969288,10905917576,1599221844,3130423985,4037721271,3296127154
1976,17097563270,12215233257,1845221295,3304436649,4316895824,4049567893
1977,19648106122,14298913924,2021262225,4137623602,4740233425,3930539796
1978,22706155475,16535882049,2283255044,4692769285,5662249857,4856498954
1979,27502168727,20115891347,2580920625,5929706137,7325688571,6201339189
1980,32450541843,23820193306,2942061400,7649439519,9239023351,7277870969
1981,35646416953,26103143157,3121764118,8495892249,9685684266,7611301695
1982,37140163934,27755620609,3387470726,7552224824,9706908665,8151756440
1983,33212180658,24119340934,2749286852,7087386504,9326356331,8582522699
1984,31408492877,23902279818,2208555157,7545617324,7875104050,5627144628
1985,30734335449,24955366980,2338867004,7381027876,6728810736,2787884325
1986,29868339081,24181656750,2375733970,7863796681,6682870836,2130022516
1987,33195933430,26238373761,2787526072,8844109939,8704424899,4030348557
1988,37885440419,29910261819,3421854779,10756730364,10205975909,4002569366
1989,42575183906,33927045044,4057009574,11968744106,12886868752,5509253934
1990,44311593756,36029863639,4477201209,12192879620,14748688838,6360338126
1991,45417561302,37857423595,4508417459,13442351503,14800535690,4409904435
1992,52976344929,45065477707,5116080353,15431886330,18026888780,5389789319
1993,54368083953,46887525396,5496222331,17049620389,21642225819,6576941656
1994,64084460124,54567705889,6918825614,21677013461,25719569069,6640484229
1995,74119987245,63347735121,8440601375,26948013564,32747137790,8130774975
1996,82848140618,70753289060,9898686665,33559012348,40838581461,9475734006
1997,82344260571,70644504542,10856036674,40312853105,48825070324,9355936574
1998,72207028768,61915663043,9588266657,32322918341,38918153195,7298333922
1999,82995145793,70523156310,10141086321,37753916618,41016326204,5593312748
2000,83670261708,69262716095,9256177589,36266221659,34981824584,3866970949
2001,78921071498,66012906567,8477501222,32480362770,34523933638,6474234577
2002,84307369868,70290685434,8658396638,33727736558,36959612543,8590163781
2003,87039145965,72621870428,8644043244,36821926690,39402295845,8353601448
2004,95001994600,78605215969,8684060467,39736333220,43034425164,11010810108
2005,1.07E+11,88964229506,9522981114,44289302519,45777709703,10001196564
2006,1.28E+11,1.05E+11,11574156283,52651028699,50557035823,9331850841
2007,1.56E+11,1.27E+11,14399459810,59294682974,55577057340,10882914556
2008,1.81E+11,1.48E+11,15954728121,60378156419,62129224540,18796340000
2009,1.76E+11,1.46E+11,17307750696,53226150544,54014409427,13480508187
2010,2.08E+11,1.67E+11,20254279760,68500918539,69239834376,21484636077
2011,2.34E+11,1.92E+11,22750951724,68169783975,74224237146,25303501447
2012,2.62E+11,2.18E+11,28266850266,71941908885,79558185809,23349426658
2013,2.84E+11,2.35E+11,30709641386,74318435585,84169698017,28141621046
2014,2.97E+11,2.43E+11,31417751765,81375151056,89583209287,30790306466
2015,3.06E+11,2.56E+11,33438275400,83377968160,97858999263,31042755703
2016,3.19E+11,2.67E+11,35870924886,84987391420,1.12E+11,43141683694
2017,3.28E+11,2.74E+11,37195077223,97073583139,1.27E+11,46731339638
2018,3.47E+11,2.93E+11,41769419256,1.05E+11,1.45E+11,52230580744
2019,3.77E+11,3.23E+11,47198788192,1.07E+11,1.52E+11,51801211808
